id,start_datetime,stop_datetime,region_id,genotype,replicate,uid,t,asleep
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,109800,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,110700,0.733333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,111600,0.333333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,112500,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,113400,0.8
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,114300,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,115200,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,116100,0.266666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,117000,0.933333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,117900,0.6
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,118800,0.866666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,119700,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,120600,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,121500,0.133333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,122400,0.666666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,123300,0.266666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,124200,0.733333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,125100,0.4
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,126000,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,126900,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,127800,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,128700,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,129600,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,130500,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,131400,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,132300,0.333333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,133200,0.466666667
